cones,cone_length,cone_width,stalk_length,scale_length,scale_width,scale_number,cone_ratio,angle,hue,value,chroma,profile,openness,seed_number,filled_seeds,viability,seed_weight,dry_weight,wet_weight
23,46.5,19.48,7.45,8.28,7.83,60,2.614765101,4,1,7,4,4,3,24,23,0.958333333,0.193,4.84,7.06
139,49.64,25.26,13.63,8.79,8.45,80,1.853264857,11,1,7,4,4,3,27,25,0.925925926,0.325,8.01,10.7
139,53.13,29.53,12.34,8.92,9.26,80,2.393030794,10,1,7,4,4,4,27,25,0.925925926,0.354,10.72,14.27
139,51.38,25.25,10.4,7.55,8.1,72,2.427884615,9,1,7,4,4,3,27,26,0.962962963,0.321,7.54,10.28
139,51.67,26.03,11.71,8.45,7.9,79,2.222886422,13,1,7,4,4,3,29,29,1,0.314,8.77,11.18
139,52.32,27.31,12.15,8.41,7.94,80,2.247736626,11,1,7,4,4,3,35,34,0.971428571,0.314,9.11,11.8
103,44.01,22.07,11.62,6.47,7.47,72,1.899311532,10,1,8,4,2,3,25,17,0.68,0.208,5.26,7.09
103,39.77,19.88,12.49,6.97,6.42,74,1.591673339,8,1,8,2,2,2,30,28,0.933333333,0.246,3.5,4.99
103,48.81,22.87,12.94,7.58,7.84,71,1.767387944,15,1,8,6,2,4,41,28,0.682926829,0.34,6.93,9.4
103,42.41,21.1,11.44,6.9,7.22,72,1.844405594,12,1,8,4,2,2,30,29,0.966666667,0.28,4.95,6.59
103,45.54,20.93,12.54,6.01,7.99,76,1.669059011,15,1,8,4,2,3,35,35,1,0.298,4.41,6.1
65,32.11,17.52,8.72,5.52,5.22,58,2.009174312,8,1,6,4,2,2,0,0,0,0,2.22,2.91
65,33.39,18.25,9.45,7.03,6,52,1.931216931,12,1,6,4,2,2,15,12,0.8,0.091,2.58,3.42
65,32.14,17.54,8.28,5.63,5.09,61,2.118357488,9,1,7,4,2,3,13,13,1,0.087,2.47,3.32
65,35.54,18.33,8.14,6.28,5.11,62,2.251842752,11,1,6,4,2,3,20,18,0.9,0.125,3.02,4.05
65,39.13,19.61,10.44,5.69,5.48,78,1.87835249,7,1,7,4,2,3,23,18,0.782608696,0.324,3.34,4.49
96,53.79,26.84,7.92,7.45,8.54,65,3.388888889,6,1,5,2,4,4,31,26,0.838709677,0.327,7.07,9.99
96,50.89,23.67,8.4,7.93,7.79,66,2.817857143,9,1,7,4,4,4,29,26,0.896551724,0.306,6.56,9.19
96,51.51,25.5,8.86,8.57,9.17,67,2.878103837,7,1,6,2,4,4,32,29,0.90625,0.314,6.26,8.94
96,63.49,32.67,8.09,8.74,9.28,86,4.038318912,8,1,7,6,4,4,48,38,0.791666667,0.48,12.53,17.49
96,58.25,29.64,10.1,7.62,8.93,79,2.934653465,8,1,7,6,4,4,51,41,0.803921569,0.439,10.69,15.06
22,44.07,23.25,10.21,6.35,7.8,76,2.277179236,12,1,7,4,3,4,33,28,0.848484848,0.321,5.85,7.88
22,37.48,20.14,10.6,6.68,7.31,74,1.9,15,1,6,4,3,4,33,30,0.909090909,0.274,3.79,5.26
22,46.38,23.38,12.46,6.73,7.57,77,1.876404494,12,1,7,4,3,4,35,30,0.857142857,0.365,6.45,8.57
22,36.85,19.92,9.22,5.58,6.59,61,2.160520607,14,1,7,4,3,4,33,31,0.939393939,0.275,3.63,4.97
22,40.97,20.78,8.6,6.83,7.16,61,2.41627907,11,1,6,4,3,4,37,32,0.864864865,0.341,4,5.48
68,54.77,28.78,10.1,9.34,8.22,70,2.84950495,10,1,8,4,2,4,36,31,0.861111111,0.363,10.46,14.2
68,54.08,28.15,9.15,10.8,9.37,67,3.076502732,9,1,6,4,2,4,36,32,0.888888889,0.371,10.83,14.99
68,49.71,26.46,8,10.37,7.42,70,3.3075,14,2,6,4,2,3,35,34,0.971428571,0.377,6.64,13.78
68,54.56,29.88,8.38,10.52,9.19,72,3.565632458,6,1,7,4,2,4,40,37,0.925,0.443,13.89,18.13
68,54.57,29.12,7.7,9.55,8.57,80,3.781818182,10,1,6,6,2,4,58,53,0.913793103,0.532,14.54,18.7
86,52.96,24.21,10.97,8.46,9.28,66,2.206927985,10,1,5,2,2,2,2,1,0.5,0.008,5.09,7.88
86,51.75,27.07,11.48,7.77,9.32,68,2.358013937,8,1,8,4,2,2,8,4,0.5,0.073,6.54,9.24
86,65.15,30.53,10.36,10.07,9.94,65,2.946911197,14,2,6,6,2,4,39,30,0.769230769,0.452,13.35,18.25
86,70.04,31.82,11.55,10.67,11.27,80,2.754978355,12,1,7,4,2,4,42,36,0.857142857,0.504,12.36,17.97
86,69.47,31.11,11.27,9.88,12.11,75,2.760425909,10,2,6,6,2,4,44,42,0.954545455,0.667,14.66,19.78
24,35.78,18.54,9.25,5.73,6.29,48,2.004324324,9,1,6,4,2,4,24,22,0.916666667,0.19,3.66,5.01
24,36.85,19.52,8.74,8.05,7.25,50,2.233409611,9,1,7,4,2,3,25,23,0.92,0.193,3.81,5.14
24,42.12,21.53,10.64,8.44,7.23,61,2.023496241,9,1,7,4,2,4,27,27,1,0.287,5.93,8.08
24,39.13,22.68,12.97,8.09,7.83,66,1.748650732,7,1,7,4,2,4,30,30,1,0.241,5.61,7.67
24,35.83,19.1,9.31,8.13,7.61,50,2.051557465,9,1,8,4,2,4,31,31,1,0.261,4.12,5.13
69,33.42,18.48,8.8,7.43,6.98,52,2.1,8,1,8,4,1,3,23,19,0.826086957,0.122,3.14,4.16
69,41.72,21.55,11.23,7.37,7.71,64,1.918967053,12,1,7,4,2,3,24,22,0.916666667,0.186,5.58,7.47
69,40.22,22.02,10.1,7.28,8.25,65,2.18019802,10,1,7,4,2,4,28,23,0.821428571,0.162,5.03,6.54
69,37.03,20.26,9.48,6.73,8.03,58,2.137130802,9,1,8,4,1,4,28,25,0.892857143,0.175,3.93,5.3
69,42.7,21.28,10.87,8.23,7.9,60,1.957681693,8,1,7,4,2,3,34,28,0.823529412,0.205,5.62,7.34
47,50.14,24.8,9.03,8.95,8.44,65,2.746400886,13,1,6,4,1,2,26,17,0.653846154,0.201,6.68,9.37
47,46.94,21.62,6.8,10.1,8.25,59,3.179411765,8,1,6,4,1,4,23,19,0.826086957,0.206,5.93,8.53
47,49.17,22.26,6.82,10,8.89,72,3.263929619,9,1,7,4,1,4,31,23,0.741935484,0.242,6.68,8.98
47,48.23,22.42,7.74,9.6,8.31,62,2.896640827,11,1,7,4,1,54,35,24,0.685714286,0.299,7.26,9.6
47,44.48,22.22,7.77,9.54,8.01,56,2.85971686,11,1,6,4,1,4,30,26,0.866666667,0.27,6.31,8.8
30,33.19,17.38,9.39,6.9,6.19,63,1.850905218,11,1,5,2,2,1,0,0,0,0,2.16,2.97
30,37.87,20.86,8.38,7.26,7.12,57,2.489260143,14,1,6,4,3,2,15,13,0.866666667,0.095,3.84,5.36
30,35.79,20.5,8.07,7.22,7.24,56,2.540272615,14,1,6,4,2,2,17,16,0.941176471,0.099,3.85,5.19
30,35.4,20.51,6.5,7.15,6.5,64,3.155384615,10,1,6,4,3,2,20,18,0.9,0.133,3.8,5.14
30,40.77,21.39,8.44,7.52,6.21,69,2.53436019,12,1,6,4,3,3,26,23,0.884615385,0.156,3.98,5.53
56,42.03,19.74,9.12,5.2,5.37,82,2.164473684,5,1,8,4,3,1,0,0,0,0,3.32,4.57
56,37.46,19.12,8.96,5.93,5.43,84,2.133928571,9,1,7,4,3,2,28,10,0.357142857,0.066,3.12,4.38
56,40.53,18.91,8.27,5.15,4.89,75,2.286577993,5,1,8,4,3,2,14,13,0.928571429,0.124,3.19,4.46
56,44.25,21.17,7.48,5.93,5.6,80,2.830213904,8,1,7,4,4,3,27,23,0.851851852,0.157,4.87,6.89
56,41.97,20.57,9.66,5.6,5.71,79,2.129399586,8,1,8,6,4,4,30,26,0.866666667,0.187,4.13,6.46
8,42.98,18.87,10.87,6.79,6.43,64,1.735970561,8,1,7,4,2,1,0,0,0,0,3.33,4.53
8,49.87,21.11,9.58,7.96,6.52,80,2.203549061,8,1,7,4,2,4,24,11,0.458333333,0.162,5.23,7.13
8,51.2,22.79,7.62,7.27,6.61,77,2.990813648,12,1,6,6,3,4,26,14,0.538461538,0.13,6.19,8.43
8,60.33,25,8.82,10.14,7.98,87,2.83446712,14,1,8,6,3,4,36,20,0.555555556,0.214,8.55,12.07
7,40.16,19.83,8.26,7.35,8.46,52,2.400726392,7,1,6,4,1,3,21,14,0.666666667,0.129,3.78,5.18
7,40.77,21.83,9.18,8.35,8.28,54,2.377995643,9,1,7,4,2,3,24,16,0.666666667,0.156,4.53,6.19
7,33.28,18.13,10.27,6.32,7.93,48,1.76533593,8,1,7,4,1,3,27,19,0.703703704,0.148,2.58,3.65
7,38.87,19.89,7.88,6.95,8.77,51,2.524111675,6,1,8,6,1,3,24,19,0.791666667,0.146,3.67,5.05
7,41.48,21.82,10.09,7.54,9.14,52,2.162537166,8,1,8,6,1,4,29,23,0.793103448,0.224,4.92,6.85
8,35.13,25.4,9.43,6.44,5.81,67,2.693531283,10,1,7,4,3,3,23,22,0.956521739,0.168,3.51,4.82
8,36.35,19.95,9.55,5.75,6.58,71,2.089005236,10,1,5,2,3,3,28,23,0.821428571,0.194,3.51,4.9
8,39.81,21.95,9.01,6.81,6.41,70,2.43618202,9,1,7,4,3,3,31,23,0.741935484,0.218,4.1,5.7
8,40.62,22.99,10.03,6.33,6.61,78,2.292123629,7,1,5,2,3,4,37,35,0.945945946,0.274,4.55,6.45
8,41.37,21.55,8.86,6.14,6.67,76,2.43227991,9,1,6,6,3,4,41,35,0.853658537,0.302,4.42,6.33
13,40.23,20.8,8.73,8.97,6.98,66,2.382588774,7,1,8,4,3,1,0,0,0,0,4.23,5.47
13,48.12,24.4,6.63,9.07,8.3,70,3.680241327,14,1,7,4,3,3,19,18,0.947368421,0.171,7.54,9.93
13,49,23.74,7.3,9.8,7.31,76,3.252054795,10,1,7,4,3,3,23,21,0.913043478,0.249,7.03,9.28
13,50.17,24.28,8.59,8.25,7.01,76,2.826542491,6,1,8,4,3,3,30,27,0.9,0.307,6.15,8.95
13,51.83,24.46,9.33,9.25,7.53,88,2.621650589,8,1,7,4,3,3,31,28,0.903225806,0.3,8.19,10.84
27,39.96,22.62,10.63,8.58,7.55,58,2.127939793,8,1,8,6,2,3,21,19,0.904761905,0.272,6.16,8.14
27,43.48,22.49,8.71,8.83,7.71,66,2.582089552,5,1,8,6,1,4,27,23,0.851851852,0.304,6.68,8.93
27,48.8,23.13,9.16,8.78,8.3,67,2.52510917,6,1,8,6,1,4,28,26,0.928571429,0.356,6.59,9.11
27,51.09,26.13,9.4,8.75,8.17,67,2.779787234,9,1,8,6,2,4,38,36,0.947368421,0.53,8.95,12.4
27,48.8,25.31,9.55,8.48,8.32,64,2.65026178,8,1,8,6,2,4,41,37,0.902439024,0.497,8.24,11.51
10,40.7,18.7,8.45,5.56,5.37,66,2.213017751,9,1,8,4,3,2,19,15,0.789473684,0.081,3.96,5.23
10,43.88,21.94,8.32,5.95,6.04,72,2.637019231,7,1,8,4,3,2,21,16,0.761904762,0.115,4.95,6.45
10,42.66,20.51,6.83,6.12,6,61,3.002928258,5,1,8,4,3,2,22,19,0.863636364,0.123,4.74,6.22
10,40.75,18.78,9.05,5.07,5.3,64,2.075138122,6,1,7,4,3,3,24,22,0.916666667,0.162,4.31,5.77
10,38.87,18.84,8.49,5.01,5.65,68,2.219081272,6,1,7,4,3,3,25,23,0.92,0.317,4.31,5.7
9,47.32,20.58,12.34,7.12,7.23,67,1.667747164,10,1,6,4,1,3,22,21,0.954545455,0.212,4.36,5.98
9,54.3,22.54,12.54,9.36,8.61,70,1.797448166,14,1,6,4,1,4,28,26,0.928571429,0.32,7.32,9.98
9,48.88,19.99,12.65,8.36,7.32,69,1.580237154,11,1,6,4,1,4,29,27,0.931034483,0.278,5.18,7.22
9,58.93,23.37,11.13,9.77,8.46,65,2.099730458,9,1,6,4,1,4,36,29,0.805555556,0.371,8.1,11.2
9,56.15,23.62,11.1,9.13,7.87,76,2.127927928,6,1,7,4,2,4,45,44,0.977777778,0.498,7.77,10.63
38,42.42,19.79,12.9,7.59,7.44,68,1.534108527,6,1,7,4,3,3,22,20,0.909090909,0.191,4.3,5.89
38,49.03,24.85,10.77,8.09,7.61,70,2.30733519,8,1,7,4,3,4,39,33,0.846153846,0.416,7.07,9.78
38,47.74,23.73,10.8,7.76,7.65,69,2.197222222,8,1,7,4,3,3,35,34,0.971428571,0.398,6.44,8.87
38,55.25,24.19,11.69,8.39,7.29,75,2.069289991,9,1,7,4,3,4,38,36,0.947368421,0.422,7.26,10.22
38,54.96,26.05,10.42,8.19,6.76,83,2.5,8,1,7,4,3,4,38,38,1,0.365,11.13,12.24
35,36.8,21.12,9.28,7.11,6.83,59,2.275862069,6,1,6,4,1,3,11,10,0.909090909,0.128,4.22,5.52
35,39.28,19.19,8.19,7.49,8.59,42,2.343101343,5,1,7,4,1,3,15,15,1,0.131,3.55,4.73
35,42.75,21.31,9.69,8.01,7.56,64,2.199174407,8,1,7,4,2,4,20,19,0.95,0.194,5.05,6.71
35,43.08,21.43,9.86,7.99,7.46,69,2.173427992,8,1,7,4,2,4,33,29,0.878787879,0.232,4.76,6.56
35,44.79,23.14,8.53,8.57,8.03,67,2.712778429,7,1,6,4,2,4,37,33,0.891891892,0.309,6.21,8.34
2,36.57,19.5,10.26,7.22,8.24,56,1.900584795,9,1,6,4,1,4,19,16,0.842105263,0.14,3.72,5.14
2,39.28,20.67,10.19,7.47,7.6,67,2.028459274,9,1,6,4,1,2,17,16,0.941176471,0.118,3.41,4.8
2,37.07,18.84,8.97,7.16,8.15,54,2.100334448,7,1,6,4,1,2,18,18,1,0.146,3.35,4.58
2,42.38,22.12,9.12,7.79,7.71,68,2.425438596,10,1,6,4,1,2,32,29,0.90625,0.236,5.2,7.08
2,37.57,19.97,7.89,7.68,7.63,58,2.531051965,9,1,6,4,1,3,35,33,0.942857143,0.22,3.98,5.5
15,39.87,19.13,12.12,7.12,6.54,70,1.578382838,10,1,8,2,1,4,22,13,0.590909091,0.139,3.32,4.67
15,40.1,18.75,10.1,7.32,6.88,65,1.856435644,8,1,7,4,1,4,25,17,0.68,0.176,3.35,4.74
15,43.89,20.86,9.64,7.86,8.11,68,2.163900415,7,1,6,4,1,4,30,23,0.766666667,0.262,4.88,6.98
15,41.25,18.98,9.52,7.28,6.13,63,1.993697479,8,1,7,2,1,4,36,29,0.805555556,0.271,3.66,5.31
15,46.41,21.63,13.12,8.1,7.65,65,1.648628049,10,1,7,4,1,4,41,32,0.780487805,0.371,5.37,7.64
33,45.06,22.96,10.6,7.53,7.33,60,2.166037736,9,1,8,4,3,4,30,22,0.733333333,0.498,5.67,7.52
33,42.83,21.98,11.91,7.22,8.08,60,1.845507976,14,1,8,4,3,4,32,29,0.90625,0.527,4.82,6.38
33,44.91,22.87,10.46,6.71,7.91,72,2.186424474,11,1,7,4,3,4,31,30,0.967741935,0.559,5.71,7.72
33,42.93,24.3,9.02,7.7,7.27,78,2.694013304,14,1,8,6,3,4,33,33,1,0.55,6.88,9.09
33,48.81,24.36,11.37,7.12,7.7,72,2.142480211,10,1,8,4,3,4,39,35,0.897435897,0.656,6.82,9.25
53,35.98,18.62,9.34,6.28,5.86,55,1.993576017,14,1,6,4,1,3,20,18,0.9,0.11,3.11,4.34
53,36.35,18.2,7.3,5.89,6.43,63,2.493150685,10,1,6,4,1,3,23,21,0.913043478,0.124,3.37,4.71
53,45.63,22.96,11.01,8.19,7.48,72,2.08537693,9,1,8,6,1,3,34,29,0.852941176,0.239,6.22,8.74
53,44.63,22.04,8.94,7.35,6.4,66,2.465324385,12,1,7,4,1,3,32,31,0.96875,0.217,5.52,7.7
53,35.78,19.8,10.07,5.78,6.08,57,1.966236346,11,1,7,4,1,3,40,37,0.925,0.203,3.62,5.16
81,33.1,18.35,8.27,8.55,6.38,59,2.218863362,7,1,6,2,2,4,0,0,0,0,2.16,2.99
81,48.99,23.27,8.73,8.07,6.87,82,2.665521191,10,1,7,4,2,4,28,25,0.892857143,0.423,6.9,8.78
81,43.77,21.74,10.2,9.15,7.65,67,2.131372549,8,2,6,6,2,4,34,26,0.764705882,0.42,5.7,7.27
81,45.69,22.21,7.38,8.48,7.53,67,3.009485095,6,1,7,4,2,4,28,26,0.928571429,0.162,5.47,7.3
81,48.11,24.31,9.77,7.48,6.77,86,2.488229273,9,1,7,4,3,4,27,26,0.962962963,0.407,7.58,9.6
14,44.39,21.49,9.76,8.09,7.64,69,2.201844262,5,1,8,4,1,4,22,15,0.681818182,0.437,5.67,7.27
14,34.77,21.78,10.3,7.47,7.95,67,2.114563107,8,1,6,4,1,4,20,16,0.8,0.284,5.65,7.87
14,43.36,20.56,10.15,7.23,7.2,65,2.025615764,6,1,8,4,1,2,26,20,0.769230769,0.133,4.25,5.93
14,42.56,20.67,9.4,7.89,7.57,62,2.19893617,9,1,6,4,1,4,29,21,0.724137931,0.161,4.72,6.49
14,43.7,20.2,9.5,7.92,7.95,62,2.126315789,10,1,7,4,1,3,26,22,0.846153846,0.407,4.68,5.99
9,26.58,14.12,7.92,4.67,5.87,45,1.782828283,7,1,7,4,1,3,17,13,0.764705882,0.315,1.44,1.92
9,31.05,16.11,8.85,6.6,5.83,47,1.820338983,10,1,6,4,1,2,19,15,0.789473684,0.343,2.22,2.88
9,29.19,15.63,9.54,5.69,5.94,50,1.63836478,10,1,6,4,1,3,22,20,0.909090909,0.351,2.07,2.89
9,40.69,19.16,11.46,7.01,6.33,52,1.671902269,6,1,7,4,1,2,27,25,0.925925926,0.427,3.71,4.83
9,26.71,15.95,9.45,4.45,5.29,53,1.687830688,10,1,6,4,1,3,29,26,0.896551724,0.372,1.69,2.35
6,32.02,17.86,5.48,5.34,5.85,51,3.259124088,5,1,7,4,2,3,24,15,0.625,0.109,2.55,3.55
6,34.29,18.09,7.88,5.48,5.02,62,2.295685279,6,1,7,4,2,2,20,15,0.75,0.108,2.98,4.12
6,32.95,18.55,5.72,5.74,5.86,58,3.243006993,9,1,7,4,2,3,24,19,0.791666667,0.138,2.66,3.75
6,40.6,23.48,7.89,6.89,5.82,69,2.975918885,9,1,7,4,3,3,31,21,0.677419355,0.199,4.99,7.15
6,39.66,19.46,9.03,7.06,6.82,65,2.15503876,7,1,6,4,2,3,26,22,0.846153846,0.156,3.53,4.91
15,41.3,20.67,7.99,5.42,6.57,68,2.58698373,7,1,6,4,2,4,16,12,0.75,0.143,4.8,6.61
15,37,19.86,7.83,6.98,7.45,66,2.536398467,6,1,6,4,2,3,16,13,0.8125,0.118,3.66,5.2
15,38.46,19.95,7.02,6.31,7.39,59,2.841880342,7,1,6,4,2,4,21,14,0.666666667,0.152,3.66,5.29
15,36.72,19.09,6.4,6.26,7.14,58,2.9828125,7,1,6,4,2,2,17,16,0.941176471,0.145,3.09,4.4
15,42.67,22.91,8.8,7.05,7.1,70,2.603409091,6,1,6,4,2,3,20,16,0.8,0.16,5.42,7.6
73,35.95,17.71,9.66,7.67,5.61,54,1.833333333,12,1,7,4,3,2,8,6,0.75,0.061,2.71,3.74
73,37.15,17.17,6.9,6.8,5.66,54,2.488405797,7,2,6,6,3,3,9,7,0.777777778,0.064,2.81,3.81
73,50.05,23.4,6.92,7.88,7.55,75,3.38150289,7,2,6,6,4,4,29,14,0.482758621,0.173,6.69,8.94
73,35.09,17.61,8.5,6.77,5.47,62,2.071764706,8,2,5,4,3,3,27,15,0.555555556,0.119,2.51,3.42
73,45.37,22.51,10.54,7.27,6.67,74,2.135673624,5,2,6,6,3,3,38,21,0.552631579,0.187,5.4,7.4
1,40.22,21.74,9.99,8.76,7.44,75,2.176176176,6,1,6,6,1,4,23,22,0.956521739,0.196,4.17,6.13
1,36.88,20.56,9.58,7.32,7.17,65,2.146137787,9,1,6,6,1,4,28,25,0.892857143,0.2,3.56,5.07
115,51.47,24.24,9.59,7.05,6.55,78,2.527632951,10,1,8,6,3,4,38,28,0.736842105,0.574,7.65,10.95
115,46.07,21.95,9.54,6.51,6.72,77,2.300838574,9,1,8,6,2,4,36,31,0.861111111,0.501,4.88,7.19
115,46.58,22.01,12.27,6.64,6,74,1.793806031,9,1,7,4,2,4,35,32,0.914285714,0.522,4.94,7.01
115,46.02,22.04,8.36,7.42,6.6,72,2.636363636,8,1,8,6,2,4,35,33,0.942857143,0.527,5.01,7.21
115,49.5,22.34,9.2,7.16,6.48,76,2.42826087,8,1,8,6,2,4,36,36,1,0.537,5.83,8.85
83,56.94,25.72,9.82,8.58,7.57,88,2.619144603,10,1,8,4,4,3,49,33,0.673469388,0.398,7.08,10.1
83,54.78,27.73,16.17,8.11,7.9,85,1.714904143,11,1,8,4,4,4,48,36,0.75,0.447,8.76,12.36
83,67.62,30.95,7.46,8.92,9.49,90,4.148793566,15,1,6,4,4,4,51,45,0.882352941,0.605,14.62,20.25
83,67.93,31.56,11.21,8.56,8.7,92,2.815343443,14,1,8,4,4,4,66,50,0.757575758,0.653,13.44,18.77
83,60.37,28.35,12.63,7.24,8.05,83,2.244655582,12,1,8,4,4,4,65,58,0.892307692,0.631,10.31,14.63
24,52.61,23.68,8.8,7.86,7.64,70,2.690909091,9,1,6,4,2,4,23,18,0.782608696,0.189,6.76,9.19
24,48.02,21.76,9.59,7.95,7.45,74,2.26903024,12,1,7,4,2,2,20,19,0.95,0.174,4.82,6.57
24,51.97,25.24,9.01,7.13,7.1,68,2.801331853,11,1,8,6,2,4,26,21,0.807692308,0.211,7.62,10.2
24,48.65,23.55,8.17,7.36,7.45,67,2.88249694,10,1,6,4,2,4,24,22,0.916666667,0.187,6.13,8.17
24,50.22,24.29,8.28,8.33,7.84,68,2.933574879,6,1,7,6,2,4,27,26,0.962962963,0.233,7.32,9.71
89,44.25,23.03,8.38,6.46,7.01,72,2.748210024,9,1,7,4,4,2,21,17,0.80952381,0.149,4.39,6
89,47.11,24.92,11.51,8.57,7.77,66,2.165073849,8,1,5,4,4,4,28,21,0.75,0.245,6.97,9.42
89,44.12,23.89,11.02,8.58,7.6,70,2.167876588,7,1,6,4,4,4,31,31,1,0.298,5.52,7.73
89,55.94,26.92,9.67,9.37,8.68,76,2.783867632,10,1,6,4,4,4,41,38,0.926829268,0.377,8.04,11.29
89,61.09,30.34,10.81,9.57,10.02,80,2.8066605,10,1,6,4,4,3,46,44,0.956521739,0.485,11.08,15.47
2,25.3,15.07,7.4,4.61,4.9,66,2.036486486,6,1,6,4,1,4,22,19,0.863636364,0.069,1.57,2.12
2,30.1,16.2,6.83,5.26,5.12,58,2.371888726,7,1,6,4,1,4,21,19,0.904761905,0.102,2.18,2.94
2,44.12,20.67,7.66,7.02,6.17,65,2.69843342,6,1,7,4,2,4,25,23,0.92,0.193,5.06,6.8
2,42.37,20.07,9.24,5.92,5.65,64,2.172077922,6,1,7,4,2,4,25,24,0.96,0.199,4.45,6
55,41.45,22.54,9.18,6.93,8.69,58,2.455337691,9,1,5,4,3,3,20,20,1,0.412,6.18,7.95
55,46.03,24.36,10.65,8.09,9.24,72,2.287323944,6,1,6,4,3,4,25,23,0.92,0.5,7.62,9.84
55,45.66,24.05,9.33,8.47,8.38,62,2.577706324,8,1,5,4,3,3,25,25,1,0.511,6.67,8.59
55,41.23,23.97,11.57,7.8,7.63,68,2.071737252,8,1,6,4,3,4,29,26,0.896551724,0.501,6.34,8.37
55,49.37,26.13,8.89,8.33,9.67,74,2.939257593,7,1,7,4,4,4,37,34,0.918918919,0.567,7.69,10.04
24,32.81,14.74,8.49,5.4,6.45,48,1.736160188,5,1,8,4,1,2,4,2,0.5,0.016,1.86,2.48
24,40.23,17.33,11.91,6.87,7.44,66,1.455079765,7,1,8,4,1,3,13,10,0.769230769,0.086,2.94,3.99
24,38.28,17.81,10.96,7.24,6.88,72,1.625,8,1,8,4,1,3,19,13,0.684210526,0.11,3.06,4.17
24,42.21,19.34,8.14,7.65,7.26,67,2.375921376,6,1,7,4,1,3,26,21,0.807692308,0.189,4.52,6.1
24,38.93,17.46,9.26,6.38,7.29,57,1.885529158,7,1,7,4,1,4,25,22,0.88,0.164,3.27,4.46
16,33.27,18.08,8.4,5.44,6.19,66,2.152380952,8,1,7,4,2,2,15,12,0.8,0.102,2.81,3.54
16,33.58,18.39,7.04,5.75,6.05,67,2.612215909,8,1,6,4,2,2,18,15,0.833333333,0.106,2.72,3.87
16,34.44,18.04,8.52,5.17,6.02,72,2.117370892,8,1,7,4,2,2,32,19,0.59375,0.147,2.74,3.85
16,38.03,21.46,10.62,6.82,7.41,73,2.020715631,9,1,8,4,3,3,30,20,0.666666667,0.159,3.94,5.52
16,40.85,21.24,9.9,6.65,7.11,77,2.145454545,8,1,7,4,3,3,35,25,0.714285714,0.202,4.3,6.24
87,49.17,24.48,11.76,9.99,9.31,58,2.081632653,6,1,6,4,1,4,20,13,0.65,0.206,7.76,9.25
87,47.95,23.13,9.86,9.25,8.88,46,2.345841785,6,1,6,4,1,4,18,15,0.833333333,0.229,6.63,8.91
87,43.22,21.5,9.95,9.32,8.32,50,2.16080402,12,1,6,4,1,4,23,19,0.826086957,0.493,5.08,6.77
87,54.01,24.56,10.65,10.71,10.23,62,2.306103286,6,1,6,4,1,4,35,27,0.771428571,0.673,7.72,10.37
87,48.69,23.4,11.54,9.67,9.62,64,2.027729636,7,1,7,4,1,4,35,28,0.8,0.44,6.18,9.28
76,38.05,19.15,9.45,5.53,6.07,77,2.026455026,7,1,7,6,3,1,0,0,0,0,2.86,7.98
76,46.62,23.27,9.33,6.68,6.96,72,2.494105038,5,1,7,6,3,2,36,32,0.888888889,0.292,6.18,8.66
76,54.07,25.77,8.68,7.72,7.87,88,2.968894009,6,1,7,6,3,3,46,40,0.869565217,0.415,8.57,11.77
76,51.68,23.49,10.66,7.73,7.59,77,2.203564728,7,1,8,6,3,3,50,41,0.82,0.399,6.88,9.59
76,47.29,23.75,9.11,7.3,7.22,76,2.607025247,6,1,8,6,3,2,50,45,0.9,0.369,6.06,8.35