,Cone Count ,Cone Length,Stalk Length,Scale Length ,Scale Count,Angle,Hue ,Value ,Chroma ,Profile,Ratio ,Openness,Seed Count,Seed Viability
Cone Count,1,0.225970834,-0.017204753,0.083880979,0.279100502,0.007792976,0.018746551,-0.015114034,0.000996611,0.046883486,0.004397654,0.092919666,0.191922648,0.07155825
Cone Length,,1,-0.007445104,0.298392823,0.574873536,0.089001101,0.051814726,0.045478873,0.109383362,0.176260904,-0.531180876,0.116562779,0.450282028,0.142919299
Stalk Length,,,1,-0.017709619,0.018458549,-0.011206898,-0.004461714,-0.012743756,-0.000486609,0.041532105,0.00661195,-0.005336598,0.200408609,-0.021177439
Scale Length,,,,1,0.075272024,0.042613758,0.024981255,-0.020040468,0.034860202,0.008699382,-0.133081698,0.105168796,0.16462048,-0.007089445
Scale Count,,,,,1,0.039645048,0.024781965,0.023715314,0.035029807,0.180786697,-0.089735823,0.07122532,0.422615301,0.126426736
Angle,,,,,,1,0.025534736,0.014226746,-0.046167948,0.092690993,-0.03488271,-0.009642595,-0.078191933,-0.04614631
Hue,,,,,,,1,-0.384480981,-0.012168947,0.00870422,0.006669738,0.037721455,0.052655245,0.027389347
Value,,,,,,,,1,0.412985919,0.087150017,-0.015261936,0.01702434,0.077703118,0.07691229
Chroma,,,,,,,,,1,0.03221057,0.014879122,0.073829819,0.142048166,0.094637907
Profile ,,,,,,,,,,1,0.037507749,-0.005770582,0.201386006,0.137117928
Ratio,,,,,,,,,,,1,-0.02412934,-0.072301173,-0.002530347
Openness,,,,,,,,,,,,1,0.350992829,0.286714746
Seed Count,,,,,,,,,,,,,1,0.614349625
Seed Viability,,,,,,,,,,,,,,1